	wav_filename	wav_filesize	transcript	char_sec
0	common_voice_tt_17357802.wav	0	ике дәфтәрдә дә бар	4.279279279279279
1	common_voice_tt_17357803.wav	0	шул алмагачның алмасын ашап күленнән су эчкән кеше дөнья йөзендә беренче батыр булачак	11.375661375661377
2	common_voice_tt_17357804.wav	0	хөрмәтле депутатлар	5.654761904761905
3	common_voice_tt_17357807.wav	0	мәрхәмәтле булыйк	4.722222222222222
4	common_voice_tt_17357808.wav	0	бу очраклы хәл түгел	5.827505827505828
5	common_voice_tt_17357809.wav	0	туктап торып	4.545454545454545
6	common_voice_tt_17357821.wav	0	патшаның түбәсе түшәмгә тия ят патшалар каршында мактана бу	11.276758409785932
7	common_voice_tt_17359052.wav	0	нишләдем мин	6.25
8	common_voice_tt_17359391.wav	0	яңа мәзәк бу нинди бина	7.986111111111112
9	common_voice_tt_17359393.wav	0	өйләнгән улы бар	6.472491909385114
10	common_voice_tt_17359395.wav	0	кара елан бөтерелеп кала шунда	11.363636363636363
11	common_voice_tt_17359442.wav	0	егет җеннәрне бик каты эшләтә икән	10.651629072681704
12	common_voice_tt_17360390.wav	0	бу айда мәүлид ашлары үткәрелә	8.741258741258742
13	common_voice_tt_17360403.wav	0	беттекитте вәссәлам	6.436314363143632
14	common_voice_tt_17362466.wav	0	ул хаклы иде	4.761904761904762
15	common_voice_tt_17429183.wav	0	нукта киертеп алып чыга да сикереп атлана өстенә	9.852216748768473
16	common_voice_tt_17430362.wav	0	анда ислам дине нигезләрен укытуда мин бернинди проблема да күрмим	13.414634146341463
17	common_voice_tt_17430419.wav	0	шунсыз булмый да	7.017543859649123
18	common_voice_tt_17430723.wav	0	татарстан инде егерме елдан артык социальикътисади һәм сәяси үзгәртеп корулар юлыннан атлый	16.485507246376812
19	common_voice_tt_17430725.wav	0	бәйрәм бүген	6.25
20	common_voice_tt_17431480.wav	0	ялгыз кайта да түшәккә берүзе ята икән	10.919540229885058
21	common_voice_tt_17431481.wav	0	бу көнне гашура дип атауның сәбәбе аның мөхәррәм аеның унысына туры килүенә бәйле	13.339920948616601
22	common_voice_tt_17431482.wav	0	менә шулай җәмәгать	8.512544802867383
23	common_voice_tt_17431483.wav	0	ләкин үзе әле һаман шәһәрнең мәдәни тормышында яши иде	11.538461538461538
24	common_voice_tt_17431484.wav	0	хәтерлисеңме	5.376344086021505
25	common_voice_tt_17431485.wav	0	менеп җитә бу тау башына	8.695652173913045
26	common_voice_tt_17431486.wav	0	тик андыймондый бернәрсә дә булмый	11.805555555555555
27	common_voice_tt_17431488.wav	0	мин бибинур апагы ишек алдыннан чыгып качкан тавыгын тотып биргән идем	14.227642276422765
28	common_voice_tt_17431513.wav	0	ул җылый иде	5.555555555555555
29	common_voice_tt_17431581.wav	0	велосипедны яңадан уйлап чыгардылар	10.964912280701753
30	common_voice_tt_17431786.wav	0	күз ачып йомган ара	7.686084142394822
31	common_voice_tt_17431787.wav	0	һәм бу гамәлләр берничә гасыр дәвамында башкарылып килгән	13.728323699421965
32	common_voice_tt_17435105.wav	0	әлеге көн мөселманнарны изге игелекле гамәлләр кылырга чакыра	12.103174603174603
33	common_voice_tt_17435106.wav	0	андыйлар да бар	7.8125
34	common_voice_tt_17435107.wav	0	ә калганнары	4.424778761061947
35	common_voice_tt_17435108.wav	0	каян килсен балага моң	9.649122807017545
36	common_voice_tt_17435109.wav	0	телеңне йотарлык	6.0606060606060606
37	common_voice_tt_17436848.wav	0	аларга уңышлар телик	8.771929824561404
38	common_voice_tt_17436850.wav	0	атны агачка бәйләп куеп шунда якында гына үскән юан бер наратны бик батырланып кисәргә тотынган	14.393939393939394
39	common_voice_tt_17436851.wav	0	бусы карлыгач булып очып китә	10.507246376811596
40	common_voice_tt_17436852.wav	0	ләкин бу рәхәт бик озакка бармаган	10.897435897435898
41	common_voice_tt_17436853.wav	0	килеп чыгар кебек бүреләр	7.716049382716049
42	common_voice_tt_17436895.wav	0	болар инде дәүләт җитәкчеләренең лексиконында булырга тиешле сүзләр түгел	16.44144144144144
43	common_voice_tt_17459677.wav	0	моның сәбәбе нидә икән	8.73015873015873
44	common_voice_tt_17459679.wav	0	шүрәле кара урманнарда гына тора	10.256410256410255
45	common_voice_tt_17459680.wav	0	элек шулай иде	6.862745098039215
46	common_voice_tt_17459681.wav	0	тыңлагыз әле	6.25
47	common_voice_tt_17459754.wav	0	аңлашылдымы	5.3921568627450975
48	common_voice_tt_17459810.wav	0	аның үзенең дә төп әсәрләре рус теленә һәм башка милли телләргә тәрҗемә ителгән	14.127324749642348
